epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.202,1.38177,3.71365,0.91398,0.02122,0.25363,0.01181,0.00722,0.83845,3.83212,0.81957,0.0005,0.0005,0.0955
2,41.6954,1.06145,3.24926,0.83505,0.03206,0.47792,0.04271,0.02918,1.05574,3.65398,0.81995,0.00107822,0.00107822,0.0900782
3,62.1148,1.07698,2.29268,0.83263,0.03379,0.49351,0.04606,0.03221,0.85432,3.51542,0.80583,0.00163268,0.00163268,0.0846327
4,82.6002,1.10533,1.54619,0.8273,0.03417,0.50206,0.05392,0.0378,1.10011,3.39906,0.83033,0.00216338,0.00216338,0.0791634
5,104.004,1.15996,1.23408,0.84237,0.04803,0.58501,0.0587,0.03739,1.13337,3.24815,0.83495,0.00267032,0.00267032,0.0736703
6,126.685,1.1622,1.0809,0.8446,0.05137,0.57376,0.05895,0.04521,0.82542,3.10395,0.81235,0.0031535,0.0031535,0.0681535
7,148.198,1.18382,0.97986,0.84525,0.05918,0.6747,0.07072,0.03399,1.61161,3.12297,0.89506,0.00361292,0.00361292,0.0626129
8,169.826,1.18524,0.91996,0.84396,0.05087,0.56245,0.04626,0.03437,0.93175,3.07685,0.82358,0.00404858,0.00404858,0.0570486
9,190.304,1.17633,0.87604,0.84797,0.06565,0.73666,0.07366,0.04588,1.38885,3.04134,0.87203,0.00446048,0.00446048,0.0514605
10,210.634,1.17296,0.8559,0.84996,0.05921,0.65425,0.28584,0.20258,1.27432,2.94237,0.85499,0.00484862,0.00484862,0.0458486
11,231.143,1.17981,0.86486,0.86301,0.06995,0.76751,0.57658,0.35142,1.43661,2.78963,0.89482,0.005213,0.005213,0.040213
12,251.404,1.21225,0.85503,0.86156,0.08506,0.95127,0.80786,0.527,1.12362,2.68964,0.84516,0.00555362,0.00555362,0.0345536
13,271.742,1.27302,0.8988,0.85937,0.08816,0.99126,0.89264,0.55571,1.21872,2.67151,0.85601,0.00587048,0.00587048,0.0288705
14,292.015,1.1634,0.86604,0.85475,0.08802,0.9855,0.95029,0.51528,1.4269,2.50134,0.90067,0.00616358,0.00616358,0.0231636
15,312.172,1.27674,0.91187,0.87113,0.08919,0.99107,0.94122,0.52188,1.40213,2.45171,0.88358,0.00643292,0.00643292,0.0174329
16,332.57,1.21145,0.86757,0.87103,0.09625,0.99573,0.96049,0.57052,1.26472,2.10851,0.86179,0.0066785,0.0066785,0.0116785
17,352.67,1.18811,0.82427,0.85981,0.98178,0.55148,0.97069,0.60819,1.1787,1.81588,0.86522,0.006832,0.006832,0.006832
18,373.088,1.12569,0.80927,0.85273,0.95305,0.73293,0.95432,0.60421,1.17547,1.58784,0.86449,0.006634,0.006634,0.006634
19,393.478,1.09118,0.8137,0.84763,0.95025,0.8228,0.97103,0.52303,1.26588,1.53623,0.87217,0.006436,0.006436,0.006436
20,413.836,1.05743,0.78903,0.84322,0.95709,0.93949,0.98283,0.60837,1.04313,1.40098,0.83799,0.006238,0.006238,0.006238
21,434.505,1.21971,0.83951,0.86573,0.93465,0.96446,0.98098,0.47719,1.65921,1.24686,0.93064,0.00604,0.00604,0.00604
22,454.884,1.06904,0.75968,0.84967,0.95129,0.97094,0.98755,0.52212,1.57451,0.95979,0.91694,0.005842,0.005842,0.005842
23,475.332,1.06928,0.71709,0.84918,0.95791,0.97367,0.98998,0.69712,0.86046,0.84196,0.82319,0.005644,0.005644,0.005644
24,495.759,0.94217,0.68812,0.83982,0.9114,0.95958,0.97656,0.72193,0.82757,0.78894,0.82042,0.005446,0.005446,0.005446
25,516.28,0.9078,0.65702,0.83067,0.96233,0.97975,0.98951,0.52963,1.46839,0.79258,0.88438,0.005248,0.005248,0.005248
26,536.939,0.90978,0.65537,0.83843,0.96205,0.9769,0.99145,0.55712,1.34304,0.77131,0.86797,0.00505,0.00505,0.00505
27,557.61,0.95533,0.68043,0.83028,0.94829,0.96318,0.98672,0.74949,0.76384,0.66456,0.81354,0.004852,0.004852,0.004852
28,578.367,0.90051,0.65493,0.83451,0.96701,0.97612,0.99164,0.74495,0.81054,0.66441,0.81708,0.004654,0.004654,0.004654
29,599.161,0.85073,0.65367,0.83234,0.96368,0.97354,0.99114,0.66331,0.96368,0.71206,0.829,0.004456,0.004456,0.004456
30,619.718,0.8113,0.64306,0.82368,0.95127,0.98889,0.9922,0.70311,0.89881,0.68913,0.82838,0.004258,0.004258,0.004258
31,640.584,0.84484,0.64784,0.83061,0.95777,0.96997,0.9922,0.74124,0.84099,0.60052,0.82034,0.00406,0.00406,0.00406
32,661.258,0.84904,0.61935,0.83627,0.96814,0.97615,0.99349,0.74881,0.84616,0.58301,0.81876,0.003862,0.003862,0.003862
33,682.041,0.79428,0.59755,0.82564,0.96189,0.99203,0.99396,0.80749,0.65675,0.55324,0.80971,0.003664,0.003664,0.003664
34,702.759,0.75176,0.58784,0.82871,0.96668,0.98252,0.9935,0.79222,0.68059,0.57881,0.80756,0.003466,0.003466,0.003466
