epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.721,1.02333,2.69949,0.85733,0.27344,0.70171,0.36888,0.27397,1.25244,2.73436,0.90759,0.0005,0.0005,0.0955
2,93.1162,0.88305,1.01254,0.8285,0.91672,0.92294,0.96946,0.73013,0.94823,1.21223,0.80621,0.00107822,0.00107822,0.0900782
3,138.262,0.82514,0.66816,0.82048,0.89557,0.90482,0.98089,0.66172,1.17388,1.1312,0.81838,0.00163268,0.00163268,0.0846327
4,181.929,0.89649,0.65995,0.81777,0.96039,0.96588,0.9851,0.76551,0.83742,0.7645,0.79456,0.00216338,0.00216338,0.0791634
5,225.594,0.95599,0.61163,0.82394,0.93683,0.92787,0.98116,0.61552,1.35394,0.82794,0.83222,0.00267032,0.00267032,0.0736703
6,268.521,1.02744,0.61215,0.82534,0.74323,0.93375,0.93154,0.72327,0.78355,0.68403,0.79358,0.0031535,0.0031535,0.0681535
7,310.988,0.91193,0.62383,0.8196,0.87751,0.92808,0.98909,0.60685,1.33396,0.9362,0.82981,0.00361292,0.00361292,0.0626129
8,353.191,0.94381,0.57339,0.82258,0.96227,0.96624,0.98425,0.77587,0.80713,0.58821,0.79313,0.00404858,0.00404858,0.0570486
9,396.065,0.92545,0.59237,0.8197,0.98165,0.98769,0.98493,0.54522,1.61615,0.7332,0.85155,0.00446048,0.00446048,0.0514605
10,438.148,1.03107,0.62897,0.82926,0.95804,0.98888,0.99058,0.71903,1.05639,1.09776,0.80758,0.00484862,0.00484862,0.0458486
11,480.443,0.96054,0.63265,0.83482,0.89086,0.91175,0.98147,0.62896,1.35098,0.84956,0.83661,0.005213,0.005213,0.040213
12,523.003,1.02765,0.59796,0.84197,0.86796,0.98531,0.96494,0.66834,1.03105,0.81807,0.80661,0.00555362,0.00555362,0.0345536
13,566.01,0.89815,0.69033,0.82297,0.86115,0.97315,0.95334,0.60588,1.21211,0.8038,0.81592,0.00587048,0.00587048,0.0288705
14,608.83,1.00869,0.64276,0.83665,0.84859,0.97576,0.98318,0.61308,1.27281,0.80702,0.81807,0.00616358,0.00616358,0.0231636
15,650.95,1.15279,0.69354,0.84448,0.84999,0.95653,0.95223,0.63303,1.21152,0.82359,0.82691,0.00643292,0.00643292,0.0174329
16,693.199,1.02076,0.62817,0.82931,0.95886,0.96775,0.98563,0.62925,1.31185,0.68536,0.82465,0.0066785,0.0066785,0.0116785
17,735.393,1.08888,0.61656,0.83911,0.96711,0.94941,0.98971,0.60388,1.27965,0.70215,0.82555,0.006832,0.006832,0.006832
18,777.285,1.0112,0.56445,0.83492,0.97796,0.97337,0.99052,0.58891,1.48694,0.69479,0.85343,0.006634,0.006634,0.006634
19,819.285,1.10266,0.59945,0.84921,0.94154,0.94478,0.98663,0.72435,1.02832,0.72498,0.81171,0.006436,0.006436,0.006436
20,861.297,0.91289,0.64566,0.83462,0.93641,0.94139,0.97903,0.67406,1.08944,0.72477,0.81761,0.006238,0.006238,0.006238
21,903.248,0.86281,0.61496,0.83687,0.8672,0.89787,0.97348,0.62727,1.06372,0.72452,0.81206,0.00604,0.00604,0.00604
22,945.313,0.83469,0.59206,0.83301,0.91021,0.88707,0.98889,0.64091,1.2078,0.73541,0.82848,0.005842,0.005842,0.005842
23,987.24,0.91953,0.58267,0.8382,0.94527,0.96936,0.98041,0.73551,0.91351,0.56246,0.80091,0.005644,0.005644,0.005644
24,1029.21,0.84987,0.53892,0.83381,0.93879,0.96742,0.96539,0.72334,0.85031,0.60519,0.79622,0.005446,0.005446,0.005446
25,1071.36,0.78572,0.5133,0.82405,0.99157,0.98361,0.99165,0.70801,1.04842,0.57775,0.81245,0.005248,0.005248,0.005248
26,1113.75,0.83845,0.48004,0.82725,0.9845,0.98437,0.98987,0.73747,0.89279,0.50925,0.80392,0.00505,0.00505,0.00505
27,1155.77,0.82104,0.45474,0.82507,0.99086,0.98361,0.99208,0.75601,0.9241,0.49809,0.80284,0.004852,0.004852,0.004852
28,1197.89,0.77382,0.43532,0.82445,0.99005,0.97756,0.99211,0.76029,0.8996,0.49209,0.79943,0.004654,0.004654,0.004654
29,1239.95,0.79768,0.43753,0.821,0.99108,0.9821,0.99227,0.7805,0.81344,0.44949,0.80445,0.004456,0.004456,0.004456
30,1282.14,0.68538,0.40394,0.81251,0.98782,0.98169,0.99248,0.79427,0.78335,0.4611,0.7987,0.004258,0.004258,0.004258
31,1324.41,0.77782,0.44398,0.82194,0.98432,0.98373,0.99261,0.7824,0.79677,0.46193,0.79645,0.00406,0.00406,0.00406
32,1366.33,0.74456,0.41864,0.8207,0.99296,0.98454,0.99285,0.74748,0.93966,0.46411,0.79874,0.003862,0.003862,0.003862
33,1408.3,0.75874,0.40534,0.81358,0.9955,0.98431,0.99288,0.82973,0.69011,0.40914,0.79332,0.003664,0.003664,0.003664
34,1450.83,0.71496,0.39408,0.81493,0.99313,0.98361,0.99281,0.82611,0.71444,0.40768,0.79323,0.003466,0.003466,0.003466
35,1492.76,0.66761,0.38899,0.80545,0.99289,0.98437,0.9927,0.78161,0.84009,0.43027,0.79452,0.003268,0.003268,0.003268
36,1534.66,0.63567,0.38019,0.80567,0.98882,0.98228,0.99251,0.79257,0.82367,0.43735,0.794,0.00307,0.00307,0.00307
37,1576.57,0.65436,0.39328,0.80302,0.98746,0.98361,0.99266,0.84472,0.61567,0.3865,0.79253,0.002872,0.002872,0.002872
38,1619.21,0.65107,0.37784,0.8018,0.98844,0.98361,0.99281,0.8436,0.62995,0.37944,0.79406,0.002674,0.002674,0.002674
39,1661.2,0.64192,0.37296,0.79928,0.98853,0.98248,0.99268,0.83177,0.69151,0.39,0.79207,0.002476,0.002476,0.002476
40,1703.31,0.58413,0.3532,0.80047,0.98938,0.98154,0.99282,0.834,0.70354,0.40553,0.79103,0.002278,0.002278,0.002278
41,1745.3,0.56525,0.35687,0.79971,0.98945,0.98248,0.9929,0.85682,0.58539,0.37156,0.79283,0.00208,0.00208,0.00208
42,1787.59,0.59688,0.3665,0.79586,0.99031,0.9821,0.99285,0.86605,0.56941,0.34954,0.79184,0.001882,0.001882,0.001882
43,1829.74,0.54344,0.33167,0.79288,0.98979,0.9821,0.99293,0.84406,0.64254,0.36973,0.79069,0.001684,0.001684,0.001684
